code,country,school_age_population,urban,pre-primary,primary,secondary,National_bws,National_lws,National_nws,Urban_bws,Urban_lws,Urban_nws,Rural_bws,Rural_lws,Rural_nws,Pre-primary_bws,Pre-primary_lws,Pre-primary_nws,Primary_bws,Primary_lws,Primary_nws,Secondary_bws,Secondary_lws,Secondary_nws,National_bss,National_lss,National_nss,Urban_bss,Urban_lss,Urban_nss,Rural_bss,Rural_lss,Rural_nss,Pre-primary_bss,Pre-primary_lss,Pre-primary_nss,Primary_bss,Primary_lss,Primary_nss,Secondary_bss,Secondary_lss,Secondary_nss,National_bhs,National_lhs,National_nhs,Urban_bhs,Urban_lhs,Urban_nhs,Rural_bss,Rural_lss,Rural_nhs,Pre-primary_bhs,Pre-primary_lhs,Pre-primary_nhs,Primary_bhs,Primary_lhs,Primary_nhs,Secondary_bhs,Secondary_lhs,Secondary_nhs
MAC,"China, Macao Special Administrative Region",73.55400085,100,21.34486198,43.64004517,35.01509094,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1
COL,Colombia,10730.71777,81.10399628,19.76855659,34.85608292,45.3753624,0,0,25.91455324,0,0,6.411633875,0,0,50.38790407,0,0,0,0,0,26.4897101,0,0,0,0,0,0,0,0,2.792301112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COM,Comoros,324.0069885,29.16387558,21.59212685,39.36303711,39.04483414,0,0,88.44988537,0,0,0,0,0,0,0,0,0,0,0,89.1705,0,0,87.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG,Congo,2146.324951,67.37302399,22.4319706,40.01332474,37.55470276,0,0,55.71663824,0,0,0,0,0,0,0,0,43.73,0,0,60.4,0,0,31.87402597,0,0,39.60706069,0,0,0,0,0,0,0,0,39.9,0,0,40.1,0,0,25.45844156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COK,Cook Islands,4.005000114,75.28089905,12.23470688,40.59925079,47.16604233,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1
CRI,Costa Rica,920.3179932,80.07601929,14.74881554,46.4874115,38.76377487,84.17128228,4.619090417,11.2096273,0,0,18.94251351,0,0,2.830125529,0,0,2.242502425,86.03497,<1,13.0645788,75.64864731,18.20262485,6.148727838,74.61759696,22.3121924,3.070210641,77.76873142,19.18436788,3.046900705,88.94389054,7.957170612,3.098938845,96.83508346,1.227914515,1.937002029,71.10723974,25.73820367,3.154556586,89.06049789,8.047662792,2.891839319,77.55541901,<1,22.44458099,0,0,17.96915964,0,0,10.05056467,0,0,6.356973878,74.89305088,<1,25.10694912,85.26332053,2.5251014,12.21157807
CUB,Cuba,1844.204956,77.10900116,18.71657372,39.56431198,41.71911621,>99,<1,<1,0,0,<1,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,<1,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1
CIV,Côte d’Ivoire,10267.12207,51.23900223,21.40597916,38.87455368,39.71946716,0,0,50.44518851,0,0,32.07955238,0,0,71.04550289,0,0,40.46006548,0,0,56.24502853,0,0,13.81773366,0,0,50.23336058,0,0,41.61616367,0,0,64.2533996,0,0,50.08885972,0,0,52.8326674,0,0,6.4617866,0,0,72.5756507,0,0,0,0,0,0,0,0,49.5,0,0,76,0,0,0
COD,Democratic Republic of the Congo,34757.78125,45.04600143,24.24283218,42.2480011,33.50916672,0,0,51.30537789,0,0,0,0,0,0,0,0,0,0,0,51.32505107,0,0,56.5,0,0,6.86,0,0,0,0,0,0,0,0,0,0,0,6.795197953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNK,Denmark,1038.459961,87.99394989,16.49856567,44.35808945,39.14334869,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1
